2	8.357e-222
2.001	9.52109e-222
2.002	1.08453e-221
2.003	1.23515e-221
2.004	1.40644e-221
2.005	1.60118e-221
2.006	1.82256e-221
2.007	2.07417e-221
2.008	2.36009e-221
2.009	2.68493e-221
2.01	3.05394e-221
2.011	3.47304e-221
2.012	3.94893e-221
2.013	4.48923e-221
2.014	5.10253e-221
2.015	5.79858e-221
2.016	6.5884e-221
2.017	7.48445e-221
2.018	8.50085e-221
2.019	9.65355e-221
2.02	1.09606e-220
2.021	1.24424e-220
2.022	1.4122e-220
2.023	1.60254e-220
2.024	1.81822e-220
2.025	2.06256e-220
2.026	2.33931e-220
2.027	2.65274e-220
2.028	3.00762e-220
2.029	3.40937e-220
2.03	3.8641e-220
2.031	4.37871e-220
2.032	4.96097e-220
2.033	5.61967e-220
2.034	6.36471e-220
2.035	7.20725e-220
2.036	8.15989e-220
2.037	9.23682e-220
2.038	1.0454e-219
2.039	1.18296e-219
2.04	1.33838e-219
2.041	1.51395e-219
2.042	1.71226e-219
2.043	1.93621e-219
2.044	2.18906e-219
2.045	2.4745e-219
2.046	2.79667e-219
2.047	3.16024e-219
2.048	3.57045e-219
2.049	4.03321e-219
2.05	4.55515e-219
2.051	5.14375e-219
2.052	5.80739e-219
2.053	6.55553e-219
2.054	7.39876e-219
2.055	8.34901e-219
2.056	9.41968e-219
2.057	1.06258e-218
2.058	1.19843e-218
2.059	1.35142e-218
2.06	1.52368e-218
2.061	1.71759e-218
2.062	1.93586e-218
2.063	2.18148e-218
2.064	2.45785e-218
2.065	2.76876e-218
2.066	3.11847e-218
2.067	3.51174e-218
2.068	3.95394e-218
2.069	4.45105e-218
2.07	5.00982e-218
2.071	5.63777e-218
2.072	6.34335e-218
2.073	7.13603e-218
2.074	8.0264e-218
2.075	9.02633e-218
2.076	1.01491e-217
2.077	1.14096e-217
2.078	1.28245e-217
2.079	1.44125e-217
2.08	1.61943e-217
2.081	1.81933e-217
2.082	2.04357e-217
2.083	2.29506e-217
2.084	2.57707e-217
2.085	2.89324e-217
2.086	3.24765e-217
2.087	3.64487e-217
2.088	4.08999e-217
2.089	4.5887e-217
2.09	5.14736e-217
2.091	5.77307e-217
2.092	6.47377e-217
2.093	7.2583e-217
2.094	8.13655e-217
2.095	9.11955e-217
2.096	1.02196e-216
2.097	1.14505e-216
2.098	1.28275e-216
2.099	1.43676e-216
2.1	1.60901e-216
2.101	1.80161e-216
2.102	2.01693e-216
2.103	2.2576e-216
2.104	2.52659e-216
2.105	2.82715e-216
2.106	3.16295e-216
2.107	3.53806e-216
2.108	3.957e-216
2.109	4.42482e-216
2.11	4.94713e-216
